id,name,songs
4qgseSP2qFCaG8uZ3jTPU2,indie rock,2.0
5rG46y5B4x6r2qJo9qQknl,chicago rap,4.0
5QS6RMivOopieq5x2tPujr,comedy rap,1.0
6nh85CiQf6LiQbb3fmqdpO,girl group,1.0
2QoTLqrUc9fCnuiq9jx2WJ,golden age hip hop,11.0
4RdyspfmpB4iWhgHyQ8Tjo,aesthetic rap,1.0
16FM84cvX2TOrLGh3KynsF,indie r&b,8.0
5G9BPCF5R3FDWVMaS4Nc7T,scottish rock,2.0
2hFnX55pU4uy9SlWjAsldj,early avant garde,1.0
6oYyQXxHvV5FoP36tVEDx9,dmv rap,5.0
4xUiFv4gjTpLjmFVz5pNwt,folk rock italiano,1.0
6VTOrzwLI7dn4yFG9nF5yM,trap latino,15.0
6dPSDRA6nq9kjqfkHT7gMq,new age,1.0
29vkOC8yyGrO47QQARdPaX,stomp and holler,1.0
1sTxDDG6iUBBdj3UuxTfHJ,vintage schlager,1.0
7crxMfqlOmjNjL1fqw1Cdl,latin hip hop,3.0
0ldCRYXuCxT6ISdVBfS87f,nueva ola chilena,1.0
5ZBBZ6MD5QVI7wbOFd4Ahm,canadian indie,1.0
68kPQhyVkANR3wnJYIKXxA,latin arena pop,1.0
252x1G2W4rvSQOyQ6KwqpJ,minnesota hip hop,3.0
6BnSfh7tEbb8H37KvVblbw,boston hip hop,5.0
3PzRGzvEkXEkVzYFLZRqvR,fake,1.0
1Hq25b8DOobm81yBvpSO7g,reggaeton,5.0
1XVyI1kKZsc07z1htbOhOF,musica lombarda,1.0
7DEy8y7pIJYNmDVOI2AP1h,new rave,1.0
04fbSoFarQIESko3ItCyqI,anime piano,1.0
1mE6nt9NJbz80N1VC7gwnd,alternative dance,1.0
6xJYIWOOdvSNJZ7s60YhZF,hi-nrg,2.0
5O48XQx5vDUwN4pgZtnwNB,post-teen pop,10.0
3goJtMitsK58MjjhvH5mZ4,modern alternative rock,1.0
2o8tDN1hRM2X68vU8phhuz,puerto rican rock,2.0
0bhOI5XR7SAMcWMbz42jYV,geek rock,1.0
5KOK4gDWkGJqEZPLlIjjVP,swedish melodic rock,1.0
5x3sQN5PeRTFS66oO0W6o4,canadian rock,1.0
3STI22ypPLyBb4xSr8JLsY,canzone d'autore,1.0
4GqXjofQ8uvjNSnVOAuDRa,rap conciencia,2.0
53ejxYQPmCy9DvZh7mIM9N,north carolina hip hop,3.0
3mMgatTDrS94GK8n17GNWD,operatic pop,1.0
1qZlUeajRvuOA97OpHVOnr,mexican indie,1.0
1qHnvbxuAAytSHMj7oRzII,nederpop,1.0
7gGuSQdslY1pyYLjbFpej2,old school hip hop,4.0
1Rx3GQgbdEPGqLF7X3pgYb,deep adult standards,1.0
3Edz21Es2swHyLfGu38wyb,rare groove,2.0
